item,itemLabel,startDate,endDate
Q727119,Estanislau Aleixo da Silva,2001-09-20,2002-05-20
Q727119,Estanislau Aleixo da Silva,2002-05-20,2006-07-10
Q727119,Estanislau Aleixo da Silva,2006-07-10,2007-05-19
Q64416341,Francisco Benevides,2007-05-19,2007-08-08
Q1897008,Mariano Assanami Sabino,2007-08-08,2012-08-08
Q1897008,Mariano Assanami Sabino,2012-08-08,2015-02-16
Q727119,Estanislau Aleixo da Silva,2015-02-16,2017-09-15
Q727119,Estanislau Aleixo da Silva,2017-09-15,2018-06-22
Q60674484,Joaquim José Gusmão dos Reis Martins,2018-06-22,2020-05-29
Q95691949,Pedro dos Reis,2020-05-29,
